,Date,User,Tweet
0,2019-03-04 21:39:34+00:00,IndianExpress,"The direction comes days after the Election Commission of India sent a letter to the Joint CP (licensing) and DCP (election cell) to conduct an assessment of licence holders.

https://t.co/471m2Q14v9"
1,2019-03-04 16:25:39+00:00,IndianExpress,"Air India crew to say ‘Jai Hind’ after every in-flight announcement

https://t.co/N706zItOLT"
2,2019-03-04 13:53:14+00:00,IndianExpress,"‘Challenges not over yet, keep your guard up,’ Pakistan Air chief tells officer
https://t.co/9DD6MO1HyO"
3,2019-03-04 12:06:44+00:00,IndianExpress,"Gujarat: PM Modi mixes up ‘Kochi’ with ‘Karachi’, says mind occupied with Pakistan these days

https://t.co/GwAf390oYQ"
4,2019-03-04 12:02:18+00:00,IndianExpress,"Abhinandan Varthaman will fly once declared ‘medically fit’: IAF chief
https://t.co/JV169TWp72"
5,2019-03-04 11:27:58+00:00,IndianExpress,"In touch with India and Pakistan, will play a constructive role to ease tensions: China

https://t.co/EhWr6CtNt2"
6,2019-03-04 07:34:04+00:00,PMOIndia,India needs structural and long term measures to overcome the challenges we face. The time for poorly thought out short term measures is over: PM @narendramodi
7,2019-03-04 07:32:05+00:00,PMOIndia,The PM Kisan Samman Nidhi will bring substantive benefits for India’s farmers. It is a long term and comprehensive effort for farmer welfare: PM @narendramodi
8,2019-03-04 07:26:46+00:00,PMOIndia,"In Ayushman Bharat, India is home to one of the biggest healthcare programmes in the world. The coming of this initiative ensures top quality and affordable healthcare for the poor: PM @narendramodi"
9,2019-03-04 06:50:54+00:00,IndianExpress,"The Samjhauta Express carrying some 150 passengers left Lahore railway station for India, Radio Pakistan reported.

https://t.co/z9s5ViTM4M"
10,2019-03-04 06:29:45+00:00,IndianExpress,"France reiterates support for India's permanent seat in reformed UN Security Council

https://t.co/s0JoYNl0gN"
11,2019-03-04 06:00:00+00:00,IndianExpress,"How has the India-Pakistan political discourse changed since Pulwama?

Today on #3Things, @MathewLiz talk to @shashankbhrgv about Balakot and its impact on BJP in the coming elections.

via @ExpressPodcasts

Listen now to #UnderstandTheNews: https://t.co/ntoYH36ZZz https://t.co/lYsRzxfp3g"
12,2019-03-04 04:50:17+00:00,IndianExpress,"Saying the country needs a PM like Narendra Modi, he said the “new India” can retaliate, and has the courage to take necessary action against Pakistan.

@saha_abhi1990 reports:

https://t.co/iQ3yHN3uFp"
13,2019-03-04 04:40:47+00:00,IndianExpress,"India has the highest TB burden in the world, but in Kerala, the incidence is already down to 44 cases per 1,00,000 population.

@abantika77 reports:

https://t.co/nf2OGeAjhD"
14,2019-03-04 03:41:34+00:00,IndianExpress,"From Burra katha to Chamar pop, here are six music genres in India that have been using the power of words and rhythm to mark their dissent against a stifling social order.

#GullyBoy 

@RanveerOfficial 

@AdrijaRoychow writes: 

https://t.co/KRskxlsQqF"
15,2019-03-04 03:01:26+00:00,IAF_MCC,"#PresidentsColoursPresentation (PCP): The President of India &amp; the Supreme Commander of Indian Armed Forces, Shri Ram Nath Kovind, will be awarding prestigious President’s Colours to AFS Hakimpet &amp; 5 BRD of the Indian Air Force (IAF) today.
Details : https://t.co/yUXMuzCZno https://t.co/BUKhKi7XGl"
16,2019-03-04 02:48:50+00:00,IndianExpress,"#ExpressOpinion | Hyper-nationalism at the hustings and war-mongering in TV studios could not only damage India’s delicate social fabric but also drive the nation into an unwanted conflict, writes Arun Prakash

https://t.co/kKlvWb4vJW"
17,2019-03-04 02:18:43+00:00,IndianExpress,"Syrian jihadists attack army posts to avenge civilian deaths

https://t.co/0FG4zxc4yF"
18,2019-03-04 01:15:00+00:00,IndianExpress,"#ExpressFrontPage Shah said India has become only the third country in the world, after the United States and Israel, to avenge attacks on its armed forces.

https://t.co/1yhoX3MFUG"
19,2019-03-03 23:45:00+00:00,IndianExpress,"India has the highest TB burden in the world, but in Kerala, the incidence is already down to 44 cases per 1,00,000 population. 

https://t.co/02Nq7wTu0v"
20,2019-03-03 22:55:00+00:00,IndianExpress,"Saying the country needs a PM like Narendra Modi, he said the “new India” can retaliate, and has the courage to take necessary action against Pakistan.

https://t.co/tWl1kROxyk"
21,2019-03-03 21:57:26+00:00,IndianExpress,"The meeting came in the wake of escalating tensions between India and Pakistan.

https://t.co/S8knzX8HDN"
22,2019-03-03 15:42:12+00:00,IndianExpress,"Writer and activist Nayantara Sahgal, 91, on writing about the ‘unmaking of India’, the role of fiction in politically turbulent times and why there’s no destroying hope.

https://t.co/WHV1jSbsSO"
