,Date,User,Tweet
0,2019-03-04 22:40:00+00:00,ARYNEWSOFFICIAL,"India, Israel were planning to attack Pakistan on February 27: sources 

https://t.co/Vo5tzkHl1u"
1,2019-03-04 22:22:37+00:00,ARYNEWSOFFICIAL,"Even Indians are trolling #KanganaRanaut over anti-Pakistan statement 

https://t.co/cwcDIRMJ9l"
2,2019-03-04 19:19:05+00:00,ARYNEWSOFFICIAL,"Terming direct aerial links beneficial for two-way trade volume, #Kyrgyzstan’s ambassador to Pakistan Erik Beishembiev said that his country was planning to start directs flights to #Pakistan
#ARYNews 

https://t.co/j2ekhXRrkI"
3,2019-03-04 18:19:51+00:00,ARYNEWSOFFICIAL,"#Balakot strike: Many in #India question ‘300-350’ casualty figure
#ARYNews 

https://t.co/Hmm4HgfM6b"
4,2019-03-04 17:24:56+00:00,ARYNEWSOFFICIAL,"In a major development, well-placed sources within the government told that #India and #Israel along with a third, unnamed nation, were jointly planning to launch an #attack on #Pakistan on February 27
#ARYNews 

https://t.co/Vo5tzkHl1u"
5,2019-03-04 17:12:32+00:00,ARYNEWSOFFICIAL,"Federal Minister for Human Rights #ShireenMazari said Pakistan would raise the case of #Shakirullah, who was martyred by fellow inmates in India’s Jaipur jail, at the international level
#ARYNews 

https://t.co/23POjS5Bno"
6,2019-03-04 16:27:37+00:00,ARYNEWSOFFICIAL,"Chief Minister #Sindh #SyedMuradAliShah said he wished that #KarachiKings win the Pakistan Super League (#PSL) season 4
#ARYNews 

https://t.co/RqVI4VldPV"
7,2019-03-04 14:55:02+00:00,ARYNEWSOFFICIAL,"#Punjab Information Minister #FayyazulHassanChohan deeply criticized #Indian #PrimeMinister #NarendraModi by saying that he was trying to become the “#ChulbulPandey” of the region by opting for aggressive measures against Pakistan
#ARYNews 

https://t.co/NqGPJzndmF"
8,2019-03-04 14:10:21+00:00,ARYNEWSOFFICIAL,"The senator said India’s response following release of #Abhinandan was negative with across the border firing.
#ARYNews #ShakirUllah
https://t.co/eDv1ewkH5j"
9,2019-03-04 13:54:41+00:00,ARYNEWSOFFICIAL,"Shah Faesal argued in favour of awarding PM Khan Nobel Prize for his peace gesture to release #IAS officer #Abhinandan

#ARYNews #PMImranKhan"
10,2019-03-04 13:45:17+00:00,ARYNEWSOFFICIAL,"Sources revealed that Pakistan’s intelligence agencies had received a report regarding foul play design of the two countries
#ARYNews
https://t.co/Vo5tzkHl1u"
